candidate_id,final_score,production_score,career_score,behavioral_score,success_score,is_honeypot
CAND_0052328,79.3445200914241,0.8200000000000001,0.61,0.8719,0.8614253171621038,0.0
CAND_0007009,79.0693044825034,0.8999999999999999,0.5581481481481482,0.7383,0.8018360792666934,0.0
CAND_0041669,78.91800850380385,0.8999999999999999,0.5018518518518519,0.83919,0.8658651850294281,0.0
CAND_0018499,78.33719496472564,0.8999999999999999,0.5585185185185185,0.8392000000000001,0.8640748024923821,0.0
CAND_0065195,78.27833782958075,0.8200000000000001,0.48888888888888893,0.8824500000000001,0.8536394177017841,0.0
CAND_0051004,78.19737915619591,0.8999999999999999,0.5511111111111111,0.6971999999999999,0.858709186129882,0.0
CAND_0075249,78.18078341952116,0.8500000000000001,0.61,0.7627,0.8596990468269087,0.0
CAND_0037566,77.99278532268377,0.8500000000000001,0.61,0.7911,0.7829504410532082,0.0
CAND_0041610,77.9641658223758,0.8999999999999999,0.30944444444444447,0.7517499999999999,0.8152895131458427,0.0
CAND_0061265,77.63825932602106,0.8999999999999999,0.49888888888888894,0.79969,0.8847312777777778,0.0
CAND_0077337,77.42885185365341,0.8500000000000001,0.38055555555555554,0.8631,0.7603568813274921,0.0
CAND_0018549,77.40445294773198,0.8,0.61,0.78595,0.8440371875384137,0.0
CAND_0064326,77.37999539067269,0.8500000000000001,0.4027777777777778,0.8701,0.7567792830111995,0.0
CAND_0069905,77.35518654941089,0.8999999999999999,0.4388888888888889,0.8010499999999999,0.7842263210040917,0.0
CAND_0000031,77.22658225159148,0.802,0.28444444444444444,0.7759,0.7681449694636324,0.0
CAND_0036184,77.16049001255848,0.8999999999999999,0.6044444444444445,0.8228000000000001,0.859282936040916,0.0
CAND_0028793,77.09454226213772,0.8500000000000001,0.4648148148148148,0.79865,0.832584076657314,0.0
CAND_0012957,77.07492706517984,0.8500000000000001,0.5322222222222223,0.69025,0.8288134831730747,0.0
CAND_0079387,76.95261119101797,0.8999999999999999,0.435,0.82016,0.8303407036504036,0.0
CAND_0046525,76.91175999218099,0.8,0.64,0.8075500000000001,0.781837366127031,0.0
CAND_0071974,76.87864645336668,0.95,0.5207407407407407,0.82558,0.870329147951616,0.0
CAND_0031593,76.68169207442078,0.8500000000000001,0.5507407407407408,0.6793,0.7673600367324568,0.0
CAND_0086151,76.62393154774276,0.8500000000000001,0.547037037037037,0.67543,0.7609746782652578,0.0
